mp-ids;Icohp_mean_avg;Icohp_mean_max;Icohp_mean_min;Icohp_mean_std;Icohp_sum_avg;Icohp_sum_max;Icohp_sum_min;Icohp_sum_std;bonding_perc_avg;bonding_perc_max;bonding_perc_min;bonding_perc_std;antibonding_perc_avg;antibonding_perc_min;antibonding_perc_max;antibonding_perc_std;Made_Loe;Made_Mull
mp-1265;-0.92;-0.92;-0.92;0;-5.52;-5.52;-5.52;0;0.97747;0.97747;0.97747;0;0.02253;0.02253;0.02253;0;-26.43;-28.07
mp-22909;-1.4;-1.4;-1.4;0;-4.2;-2.8;-5.6;1.4;0.767235;0.76735;0.76712;0.000115;0.232765;0.23265;0.23288;0.000115;-23.06;-25.91
mp-29751;-0.44;-0.22;-0.66;0.22;-2.22;-0.9;-3.97;1.207870026;0.9754975;0.98305;0.96875;0.005543633;0.0245025;0.01695;0.03125;0.005543633;-25.56;-30.73
mp-3056;-1.384;-0.37;-2.75;1.121063781;-6.434;-1.12;-16.5;5.58724118;0.92712;0.98333;0.82803;0.056952622;0.07288;0.01667;0.17197;0.056952622;-12.11;-14.53
mp-10616;-0.41;-0.13;-0.78;0.240831892;-1.778571429;-0.77;-2.33;0.485516767;0.822714286;1;0.6875;0.115373749;0.177285714;0;0.3125;0.115373749;-21.23;-20.49
mp-573204;-0.96;-0.4;-2.34;0.872795181;-3.79;-0.41;-14.02;4.256732483;0.867551429;0.95342;0.77027;0.074369495;0.132448571;0.04658;0.22973;0.074369495;-35.16;-39.01
mp-6408;-2.486666667;-1.26;-4.77;1.616051429;-6.46;-1.26;-19.07;5.835277771;0.826083333;0.96304;0.70665;0.105167266;0.173916667;0.03696;0.29335;0.105167266;-19.8;-24.99
mp-571102;-0.95;-0.95;-0.95;0;-5.71;-5.71;-5.71;0;0.90544;0.90544;0.90544;0;0.09456;0.09456;0.09456;0;-0.02;-0.76
mp-27691;-1.07;-0.25;-2.21;0.933123786;-3.976;-0.43;-13.28;4.73678203;0.831086;0.99667;0.56667;0.157729179;0.168914;0.00333;0.43333;0.157729179;-7.94;-10.23
mp-9915;-1.826;-0.51;-3.38;1.305382703;-7.514;-2.57;-13.51;5.001106278;0.996434;1;0.98217;0.007132;0.003566;0;0.01783;0.007132;-2.9;-4.52
mp-20731;-2.46;-0.97;-3.96;1.490016778;-7.1425;-0.97;-15.86;5.597612772;0.863485;0.99437;0.73171;0.130558059;0.136515;0.00563;0.26829;0.130558059;-6.04;-9.59
mp-2172;-4.14;-4.14;-4.14;0;-16.58;-16.58;-16.58;0;1;1;1;0;0;0;0;0;-0.38;-2.18
mp-23349;-6.3625;-1.68;-11.44;4.257207858;-16.4925;-1.68;-34.31;12.03907466;0.9504125;1;0.88073;0.045842261;0.0495875;0;0.11927;0.045842261;-31.44;-67.35
mp-9306;-0.958333333;-0.28;-2.07;0.791442073;-2.193333333;-0.28;-4.15;1.173522712;0.77618;0.8697;0.51546;0.126668763;0.22382;0.1303;0.48454;0.126668763;-56.81;-53.24
mp-3813;-1.7375;-0.39;-3.19;1.349543904;-6.5125;-1.96;-19.15;7.30813716;0.92214;0.97105;0.89377;0.03187166;0.07786;0.02895;0.10623;0.03187166;-35.67;-40.95
mp-23406;-1.445;-0.3;-2.51;1.066501289;-4.9675;-0.46;-15.07;5.879227734;0.8102925;0.92166;0.71429;0.073717911;0.1897075;0.07834;0.28571;0.073717911;-11.14;-13
mp-23004;-0.482;-0.23;-0.84;0.292670463;-2.414;-0.93;-5.03;1.435417709;0.951556;0.97905;0.92771;0.022665868;0.048444;0.02095;0.07229;0.022665868;-35.89;-41.71
mp-23231;-0.59;-0.59;-0.59;0;-3.56;-3.56;-3.56;0;0.70034;0.70034;0.70034;0;0.29966;0.29966;0.29966;0;-1.94;-2.73
mp-22903;-0.4;-0.4;-0.4;0;-2.38;-2.38;-2.38;0;0.91489;0.91489;0.91489;0;0.08511;0.08511;0.08511;0;-3.19;-4.32
mp-23860;-0.308;-0.15;-0.45;0.121061968;-1.522;-0.98;-2.23;0.583143207;0.868802;0.93578;0.76444;0.063726058;0.131198;0.06422;0.23556;0.063726058;-31.92;-36.81
mp-15788;-1.6025;-0.56;-2.65;1.042505995;-7.22;-1.69;-15.87;5.492435707;0.9995275;1;0.99874;0.000522368;0.0004725;0;0.00126;0.000522368;-7.94;-12.89
mp-1342;-0.446666667;-0.42;-0.5;0.037712362;-3.663333333;-2.5;-5.99;1.645201778;0.755656667;0.78243;0.74227;0.018931606;0.244343333;0.21757;0.25773;0.018931606;-20.75;-19.4
mp-1778;-5.78;-5.78;-5.78;0;-23.13;-23.13;-23.13;0;1;1;1;0;0;0;0;0;-3.06;-7.82
mp-12385;-2.85;-0.59;-4.57;1.667942845;-10.445;-2.35;-27.36;9.709936062;0.903916667;0.97528;0.81325;0.06689437;0.096083333;0.02472;0.18675;0.06689437;-73.91;-88.02
mp-1569;-3.07;-1.69;-3.76;0.975807358;-18.44333333;-10.16;-30.11;8.488652556;1;1;1;0;0;0;0;0;-2.75;-7.7
mp-13948;-3.326666667;-1.1;-4.44;1.574491099;-11.45;-3.29;-26.62;10.73707906;0.900173333;0.91837;0.89065;0.012871665;0.099826667;0.08163;0.10935;0.012871665;-34.13;-44.67
mp-2693;-1.52;-1.52;-1.52;0;-9.15;-9.15;-9.15;0;0.88151;0.88151;0.88151;0;0.11849;0.11849;0.11849;0;-0.57;-1.61
mp-569548;-0.635;-0.23;-1.07;0.36527387;-2.235;-0.32;-5.54;2.018693885;0.762145;0.91852;0.69602;0.090693875;0.237855;0.08148;0.30398;0.090693875;-10.56;-12.84
mp-989407;-4.1;-2.34;-5.69;1.47399118;-15.985;-5.9;-28.47;8.537981319;0.983565;0.99893;0.95713;0.015876619;0.016435;0.00107;0.04287;0.015876619;-60.53;-86.76
mp-997089;-1.286;-0.3;-2.56;1.04291131;-4.102;-0.6;-10.25;3.433239869;0.82335;0.97468;0.60699;0.138762275;0.17665;0.02532;0.39301;0.138762275;-20.51;-21.82
mp-23059;-3.88;-3.88;-3.88;0;-13.585;-3.88;-23.29;9.705;0.96246;0.96302;0.9619;0.00056;0.03754;0.03698;0.0381;0.00056;-11.12;-15.76
mp-8756;-0.4;-0.18;-0.74;0.223478986;-1.704285714;-0.72;-2.97;0.884111453;0.922742857;1;0.82883;0.073462247;0.077257143;0;0.17117;0.073462247;-18.6;-21.36
mp-23116;-1.336666667;-0.71;-2.22;0.642616181;-5.34;-2.83;-8.89;2.578009568;0.807875;0.87469;0.72228;0.062587367;0.192125;0.12531;0.27772;0.062587367;-25.42;-31.33
mp-29403;-2.83;-1.25;-4.41;1.58;-7.0825;-1.25;-17.66;6.271743677;0.8461825;0.98785;0.70425;0.141119213;0.1538175;0.01215;0.29575;0.141119213;-0.58;-1.32
