,metadata.material_id
1061,mp-551269
1062,mp-573721
1063,mp-22483
1064,mp-8224
1065,mp-989563
1066,mp-370
1067,mp-7940
1068,mp-961774
1069,mp-570354
1070,mp-27831
1071,mp-7374
1072,mp-27791
1073,mp-21511
1074,mp-15999
1075,mp-33526
1076,mp-149
1077,mp-8426
1078,mp-8098
1079,mp-5280
1080,mp-3247
1081,mp-14652
1082,mp-15896
1083,mp-5238
1084,mp-9855
1085,mp-463
1086,mp-1153
1087,mp-8180
1088,mp-22473
1089,mp-13276
1090,mp-30056
1091,mp-4047
1092,mp-9567
1093,mp-22957
1094,mp-28111
1095,mp-23197
1096,mp-181
1097,mp-961661
1098,mp-984761
1099,mp-9361
1100,mp-12992
1101,mp-14116
1102,mp-14983
1103,mp-9845
1104,mp-4666
1105,mp-4809
1106,mp-504838
1107,mp-1143
1108,mp-37216
1109,mp-7566
1110,mp-568273
1111,mp-961678
1112,mp-552234
1113,mp-1968
1114,mp-14175
1115,mp-540703
1116,mp-546794
1117,mp-23406
1118,mp-3700
1119,mp-9010
1120,mp-8187
1121,mp-9692
1122,mp-23303
1123,mp-8932
1124,mp-559695
1125,mp-304
1126,mp-989642
1127,mp-11265
1128,mp-23465
1129,mp-9732
1130,mp-23949
1131,mp-13925
1132,mp-22937
1133,mp-1958
1134,mp-752580
1135,mp-8200
1136,mp-20098
1137,mp-770932
1138,mp-8882
1139,mp-12317
1140,mp-864954
1141,mp-27828
1142,mp-7937
1143,mp-830
1144,mp-867261
1145,mp-8177
1146,mp-7089
1147,mp-14205
1148,mp-997036
1149,mp-8922
1150,mp-27546
1151,mp-8455
1152,mp-3038
1153,mp-8217
1154,mp-551092
1155,mp-2552
1156,mp-6984
1157,mp-1285
1158,mp-560588
1159,mp-23167
1160,mp-1008223
1161,mp-30373
1162,mp-3419
1163,mp-567655
1164,mp-28243
1165,mp-997089
1166,mp-22304
1167,mp-608555
1168,mp-991676
1169,mp-11695
1170,mp-3070
1171,mp-5061
1172,mp-8207
1173,mp-12442
1174,mp-31451
1175,mp-9636
1176,mp-961648
1177,mp-1009082
1178,mp-10163
1179,mp-14069
1180,mp-15157
1181,mp-21166
1182,mp-9348
1183,mp-32880
1184,mp-12535
1185,mp-5078
1186,mp-30847
1187,mp-4175
1188,mp-24066
1189,mp-3163
1190,mp-7738
1191,mp-1315
1192,mp-20459
1193,mp-989639
1194,mp-30456
1195,mp-20015
1196,mp-14006
1197,mp-31468
1198,mp-23018
1199,mp-15776
1200,mp-989536
1201,mp-684
1202,mp-827
1203,mp-1265
1204,mp-768368
1205,mp-571093
1206,mp-22913
1207,mp-7863
1208,mp-539
1209,mp-5594
1210,mp-4165
1211,mp-30250
